key,name,categories,value,unit
"('biosphere3', '5f7aad3d-566c-4d0d-ad59-e765f971aa0f')","Methane, fossil","('air', 'urban air close to ground')",0.014379487,kg O3 eq
"('biosphere3', '57bdb443-d4a6-423d-8024-959b8261d02e')","Methane, non-fossil","('air', 'non-urban air or from high stacks')",0.014379487,kg O3 eq
"('biosphere3', 'da1157e2-7593-4dfd-80dd-a3449b37a4d8')","Methane, non-fossil","('air',)",0.014379487,kg O3 eq
"('biosphere3', 'baf58fc9-573c-419c-8c16-831ac03203b9')","Methane, non-fossil","('air', 'urban air close to ground')",0.014379487,kg O3 eq
"('biosphere3', '1d2439de-751b-469a-ba3e-fda8fe9802b2')",Methanol,"('air', 'non-urban air or from high stacks')",0.672335897,kg O3 eq
"('biosphere3', '0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454')",Methanol,"('air',)",0.672335897,kg O3 eq
"('biosphere3', 'f873299d-0675-4fdc-ad01-c5a4b951b583')",Methanol,"('air', 'urban air close to ground')",0.672335897,kg O3 eq
"('biosphere3', 'ef06f2a4-4b8c-4740-9e06-0c2126d1839a')",Methyl acetate,"('air', 'urban air close to ground')",0.072001538,kg O3 eq
"('biosphere3', 'a71b27f2-3bcb-4bcc-a0c6-b6a123f0b42e')",Methyl formate,"('air', 'urban air close to ground')",0.056999487,kg O3 eq
"('biosphere3', '80ef64e4-312c-485a-be3d-30856adc0c11')",Methyl lactate,"('air', 'urban air close to ground')",2.673564103,kg O3 eq
"('biosphere3', 'cfdbc576-e8dc-44ef-bdf2-ddd7009ce57e')",m-Xylene,"('air',)",9.750333333,kg O3 eq
"('biosphere3', '10571d92-ea97-4ac6-adb6-b25893a631cb')",m-Xylene,"('air', 'urban air close to ground')",9.750333333,kg O3 eq
"('biosphere3', '1753af55-cfa1-4fb2-a059-33594a759982')",Nitrobenzene,"('air', 'urban air close to ground')",0.056462308,kg O3 eq
"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",24.79358974,kg O3 eq
"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides,"('air',)",24.79358974,kg O3 eq
"('biosphere3', 'd068f3e2-b033-417b-a359-ca4f25da9731')",Nitrogen oxides,"('air', 'urban air close to ground')",24.79358974,kg O3 eq
"('biosphere3', '5a6eb27d-9157-46d5-be32-92bbd543ada9')",o-Xylene,"('air', 'urban air close to ground')",7.640128205,kg O3 eq
"('biosphere3', '2f052025-4072-4d8e-b22d-68d50bfb260c')",Pentane,"('air', 'non-urban air or from high stacks')",1.312930769,kg O3 eq
"('biosphere3', '516606eb-99f6-4e8c-b99a-6b439aaed48c')",Pentane,"('air',)",1.312930769,kg O3 eq
"('biosphere3', '0b9698ec-8b52-4986-8f9f-ad30915aa00c')",Pentane,"('air', 'urban air close to ground')",1.312930769,kg O3 eq
"('biosphere3', '63974d2c-11f3-45eb-be9c-726261b04d85')",Phenol,"('air', 'non-urban air or from high stacks')",2.756487179,kg O3 eq
"('biosphere3', '5896c761-4e02-4573-8747-c4bbf73162c0')",Phenol,"('air',)",2.756487179,kg O3 eq
"('biosphere3', 'd761d96f-d236-4131-89c8-ad3269d02a6b')",Phenol,"('air', 'urban air close to ground')",2.756487179,kg O3 eq
"('biosphere3', '9beb60a3-3a8c-4345-9a0e-107eec2f709f')",Propane,"('air', 'non-urban air or from high stacks')",0.489458974,kg O3 eq
"('biosphere3', '3a6c936c-0276-4f11-9d98-1bd011387a6e')",Propane,"('air',)",0.489458974,kg O3 eq
"('biosphere3', '98c66fdb-091d-46e9-a533-686f821e8f6a')",Propane,"('air', 'urban air close to ground')",0.489458974,kg O3 eq
"('biosphere3', '4a6af581-af93-4d79-9f45-a5c43f463bbb')",Propanol,"('air', 'urban air close to ground')",2.497358974,kg O3 eq
"('biosphere3', '23856318-9583-426b-ab04-12e4506b60a8')",Propene,"('air', 'non-urban air or from high stacks')",11.66471795,kg O3 eq
"('biosphere3', '64165202-4870-47d0-8602-b85e5d672865')",Propene,"('air',)",11.66471795,kg O3 eq
"('biosphere3', 'ada09403-d5f2-4496-9201-a6dcca0b1717')",Propene,"('air', 'urban air close to ground')",11.66471795,kg O3 eq
"('biosphere3', '0f907765-2a94-48a8-8978-55a2757d3e24')",Propionic acid,"('air', 'non-urban air or from high stacks')",1.223110256,kg O3 eq
"('biosphere3', 'a1ecc854-a399-4b01-bae2-3a88b12ed44f')",Propionic acid,"('air',)",1.223110256,kg O3 eq
"('biosphere3', 'f1c0cd31-8d5e-4bc9-91f6-79e76329234e')",Propionic acid,"('air', 'urban air close to ground')",1.223110256,kg O3 eq
"('biosphere3', 'f276d4ca-b1ad-4575-9442-e35b5e3b618b')",Propylene oxide,"('air', 'urban air close to ground')",0.293989744,kg O3 eq
"('biosphere3', '2d456fb8-592b-46a7-97f0-81fc2a18e587')",Styrene,"('air', 'non-urban air or from high stacks')",1.732928205,kg O3 eq
"('biosphere3', '9cec94a2-e7fe-43f4-82f4-293c477f86dc')",Styrene,"('air',)",1.732928205,kg O3 eq
"('biosphere3', 'd85a44cb-8407-4997-a146-581e4f35f39d')",Styrene,"('air', 'urban air close to ground')",1.732928205,kg O3 eq
"('biosphere3', 'a793710a-1990-4e65-a95e-cfbbc5332355')",t-Butyl methyl ether,"('air', 'urban air close to ground')",0.734448718,kg O3 eq
"('biosphere3', '77f17646-cede-4a49-99dd-55950098b077')",Toluene,"('air', 'non-urban air or from high stacks')",4.004717949,kg O3 eq
"('biosphere3', '3b1ecf8e-1d2c-4330-81da-a79f9068976d')",Toluene,"('air',)",4.004717949,kg O3 eq
"('biosphere3', '39946c56-cdf6-4a22-9ac9-1cd333b65533')",Toluene,"('air', 'urban air close to ground')",4.004717949,kg O3 eq
"('biosphere3', '37d7d60d-3682-4da4-aa64-99c51b5d524b')",Trimethylamine,"('air', 'urban air close to ground')",6.315641026,kg O3 eq
